drdt,nut,M,N,r_het,rho,k,supersat,I,alphat,p,T,r_crit,epsilon,U:0,U:1,U:2,Points:0,Points:1,Points:2,Point ID,Block Number
-7.1934e-10,0.471645,1,6.33816e+06,0.00335209,0.591853,36.0262,1.99241,1.08044e+07,0.279145,101326,373.219,1.03328e-09,247.777,39.6416,-0.35199,-7.96097e-18,9.81848,0.354136,-0.5,1059,2
-7.09405e-10,0.471884,1,6.36688e+06,0.00334705,0.591856,35.6003,1.99252,1.08837e+07,0.279288,101326,373.216,1.0332e-09,241.848,39.7005,-0.346106,5.94764e-17,9.90924,0.353845,-0.5,1060,2
-7.05369e-10,0.472507,1,6.385e+06,0.00334388,0.591856,35.3189,1.99257,1.09144e+07,0.279655,101325,373.215,1.03317e-09,237.705,39.7402,-0.34142,8.6061e-17,10,0.353554,-0.5,1061,2
-1.20276e-09,0.230298,1,9.31844e+06,0.00299466,0.590276,104.236,1.98647,7.06408e+06,0.135938,101086,373.323,1.03749e-09,4332.79,18.7231,-0.604704,-5.42428e-18,0.982097,0.453693,-0.5,1062,2
-1.1733e-09,0.262213,1,9.17753e+06,0.00300925,0.590304,113.495,1.98671,7.18286e+06,0.154785,101090,373.316,1.03732e-09,4501.19,19.1553,-1.01481,-2.40099e-15,1.07319,0.453396,-0.5,1063,2
-1.15085e-09,0.291641,1,8.93459e+06,0.00303557,0.590343,121.918,1.98688,7.26935e+06,0.172168,101095,373.313,1.03719e-09,4655.1,19.5594,-1.4057,2.02971e-15,1.16428,0.453099,-0.5,1064,2
-1.13382e-09,0.318407,1,8.57172e+06,0.0030766,0.590389,129.275,1.98697,7.31897e+06,0.187983,101103,373.313,1.03713e-09,4779.81,20.0035,-1.78179,6.21538e-15,1.25537,0.452802,-0.5,1065,2
-1.11797e-09,0.342599,1,8.12493e+06,0.00312941,0.590442,135.461,1.98703,7.35356e+06,0.202284,101112,373.314,1.03709e-09,4866.21,20.4761,-2.1402,-2.98668e-16,1.34646,0.452504,-0.5,1066,2
-1.10408e-09,0.363868,1,7.63073e+06,0.00319155,0.590501,140.405,1.98704,7.37282e+06,0.214864,101123,373.316,1.03707e-09,4914.08,20.9748,-2.49633,-1.74894e-15,1.43755,0.452207,-0.5,1067,2
-1.09276e-09,0.382606,1,7.11028e+06,0.00326183,0.590564,144.341,1.98702,7.37408e+06,0.225953,101135,373.32,1.03707e-09,4933.36,21.5258,-2.83822,-1.54771e-15,1.52864,0.45191,-0.5,1068,2
