drdt,nut,M,N,r_het,rho,k,supersat,I,alphat,p,T,r_crit,epsilon,U:0,U:1,U:2,Points:0,Points:1,Points:2,Point ID,Block Number
-2.60183e-09,0.841032,1,2.5896e+06,0.00452064,0.586901,450.332,1.95776,926426,0.493603,100713,374.059,1.05788e-09,21908.1,19.9505,-3.46005,-4.58193e-16,1.55921,0.380644,0.5,2068,2
-2.61997e-09,0.871414,1,2.54043e+06,0.00454885,0.58709,465.193,1.95763,922614,0.511599,100749,374.074,1.05794e-09,22528.3,21.0916,-3.93717,4.30637e-16,1.64997,0.380353,0.5,2069,2
-2.64423e-09,0.897912,1,2.4947e+06,0.00457569,0.587289,477.496,1.95744,915497,0.527335,100787,374.09,1.05804e-09,23004.7,22.2988,-4.40879,9.23739e-16,1.74073,0.380062,0.5,2070,2
-2.67423e-09,0.921275,1,2.45452e+06,0.00459984,0.587499,487.587,1.95722,906077,0.541249,100828,374.107,1.05817e-09,23352.9,23.5755,-4.85437,7.11941e-19,1.83149,0.379771,0.5,2071,2
-2.70919e-09,0.94158,1,2.42207e+06,0.00461981,0.587716,495.501,1.95697,895608,0.553384,100870,374.126,1.05832e-09,23575,24.8915,-5.26317,-1.67586e-15,1.92225,0.379479,0.5,2072,2
-2.74886e-09,0.958715,1,2.39786e+06,0.00463499,0.587941,501.276,1.95671,884375,0.56367,100913,374.147,1.05847e-09,23679.3,26.252,-5.65726,-1.66122e-15,2.01301,0.379188,0.5,2073,2
-2.7936e-09,0.97288,1,2.38384e+06,0.00464392,0.588169,505.04,1.95643,872490,0.57222,100957,374.167,1.05865e-09,23674.3,27.6577,-6.03154,1.59804e-15,2.10378,0.378897,0.5,2074,2
-2.84168e-09,0.98424,1,2.37708e+06,0.00464827,0.588397,506.839,1.95614,860326,0.579126,101002,374.188,1.05882e-09,23560.3,29.0995,-6.37437,8.1386e-16,2.19454,0.378605,0.5,2075,2
-2.89129e-09,0.992667,1,2.37547e+06,0.0046493,0.588625,506.736,1.95586,848573,0.584309,101046,374.208,1.05898e-09,23344.4,30.5676,-6.67661,-1.17648e-15,2.2853,0.378314,0.5,2076,2
-2.94027e-09,0.998575,1,2.37688e+06,0.00464838,0.58885,504.762,1.9556,838101,0.588011,101090,374.229,1.05914e-09,23021.4,32.0491,-6.93098,-4.06059e-16,2.37606,0.378023,0.5,2077,2
-2.98767e-09,1.00245,1,2.38001e+06,0.00464634,0.589071,501.135,1.95536,828929,0.590517,101133,374.247,1.05927e-09,22601.6,33.5392,-7.1421,4.05904e-16,2.46682,0.377731,0.5,2078,2
-3.03297e-09,1.0041,1,2.38397e+06,0.00464376,0.589284,496.046,1.95514,820835,0.591703,101174,374.265,1.0594e-09,22106.3,35.0317,-7.30781,4.07513e-16,2.55758,0.37744,0.5,2079,2
-3.07592e-09,1.00386,1,2.3893e+06,0.00464032,0.589487,489.629,1.95494,813909,0.591764,101213,374.281,1.05951e-09,21541.4,36.5143,-7.42428,1.20447e-17,2.64834,0.377149,0.5,2080,2
-3.11565e-09,1.00214,1,2.39524e+06,0.00463647,0.58968,482.069,1.95477,808382,0.590942,101250,374.297,1.0596e-09,20915.8,37.9776,-7.49467,1.17689e-17,2.7391,0.376858,0.5,2081,2
