,Ambient Pressure [Pa],dT [K],$r$ [m],Time_r [s]
0,346197.9591836735,27.26530612244898,1.0030373465695353e-06,1.4000000000000001e-08
0,346197.9591836735,28.06122448979592,1.0031250745410212e-06,1.4000000000000001e-08
0,346197.9591836735,28.857142857142858,1.0032127556172314e-06,1.5000000000000002e-08
0,346197.9591836735,29.653061224489797,1.0033003906549902e-06,1.4000000000000001e-08
0,346197.9591836735,30.448979591836736,1.0033879803284593e-06,1.2000000000000002e-08
0,346197.9591836735,31.244897959183675,1.003475524517977e-06,1.4000000000000001e-08
0,346197.9591836735,32.04081632653062,1.0035630231155292e-06,1.5000000000000002e-08
0,346197.9591836735,32.83673469387755,1.003650476678754e-06,1.5000000000000002e-08
0,346197.9591836735,33.63265306122449,1.0037378860019685e-06,1.6e-08
0,346197.9591836735,34.42857142857143,1.003825252029188e-06,1.5000000000000002e-08
0,346197.9591836735,35.224489795918366,1.0039125752870385e-06,1.4000000000000001e-08
0,346197.9591836735,36.02040816326531,1.0039998557865002e-06,1.4000000000000001e-08
0,346197.9591836735,36.816326530612244,1.0040870934763153e-06,1.6e-08
0,346197.9591836735,37.61224489795919,1.0041742886446037e-06,1.6e-08
0,346197.9591836735,38.40816326530612,1.0042614420996466e-06,1.6e-08
0,346197.9591836735,39.20408163265306,1.0043485545321267e-06,1.6e-08
0,346197.9591836735,40.0,1.0044356265869529e-06,1.6e-08
0,352320.4081632653,1.0,1.0001126706675382e-06,2e-09
0,352320.4081632653,1.7959183673469388,1.0002022511247978e-06,6.000000000000001e-09
0,352320.4081632653,2.5918367346938775,1.0002917599721124e-06,4e-09
0,352320.4081632653,3.387755102040816,1.0003811999733076e-06,6.000000000000001e-09
0,352320.4081632653,4.183673469387755,1.000470571896751e-06,7.000000000000001e-09
0,352320.4081632653,4.979591836734694,1.0005598822429116e-06,5e-09
0,352320.4081632653,5.775510204081632,1.0006491272312845e-06,8e-09
0,352320.4081632653,6.571428571428571,1.0007383096815009e-06,8e-09
0,352320.4081632653,7.36734693877551,1.0008274332659202e-06,6.000000000000001e-09
0,352320.4081632653,8.16326530612245,1.000916494436601e-06,9.000000000000001e-09
0,352320.4081632653,8.959183673469388,1.0010054949776804e-06,9.000000000000001e-09
0,352320.4081632653,9.755102040816327,1.0010944386462156e-06,6.000000000000001e-09
0,352320.4081632653,10.551020408163264,1.0011833229769133e-06,9.000000000000001e-09
0,352320.4081632653,11.346938775510203,1.0012721474425935e-06,1e-08
0,352320.4081632653,12.142857142857142,1.0013609159000473e-06,9.000000000000001e-09
0,352320.4081632653,12.938775510204081,1.0014496286419562e-06,9.000000000000001e-09
0,352320.4081632653,13.73469387755102,1.0015382831359152e-06,1.1000000000000001e-08
0,352320.4081632653,14.53061224489796,1.0016268809945191e-06,1.1000000000000001e-08
0,352320.4081632653,15.326530612244898,1.001715425130174e-06,1e-08
0,352320.4081632653,16.122448979591837,1.0018039149605884e-06,1e-08
0,352320.4081632653,16.918367346938776,1.0018923488887325e-06,1.2000000000000002e-08
0,352320.4081632653,17.714285714285715,1.0019807282733552e-06,1.2000000000000002e-08
0,352320.4081632653,18.510204081632654,1.0020690555970407e-06,1.1000000000000001e-08
0,352320.4081632653,19.306122448979593,1.0021573311121281e-06,9.000000000000001e-09
0,352320.4081632653,20.10204081632653,1.0022455532338517e-06,1.2000000000000002e-08
0,352320.4081632653,20.897959183673468,1.0023337223498725e-06,1.3e-08
0,352320.4081632653,21.693877551020407,1.0024218404939337e-06,1.3e-08
0,352320.4081632653,22.489795918367346,1.0025099090391168e-06,1.2000000000000002e-08
0,352320.4081632653,23.285714285714285,1.0025979276538554e-06,1.1000000000000001e-08
0,352320.4081632653,24.081632653061224,1.002685895406999e-06,1.3e-08
0,352320.4081632653,24.877551020408163,1.0027738128934949e-06,1.4000000000000001e-08
0,352320.4081632653,25.6734693877551,1.0028616818244047e-06,1.4000000000000001e-08
0,352320.4081632653,26.46938775510204,1.0029495034034893e-06,1.3e-08
0,352320.4081632653,27.26530612244898,1.0030372775806468e-06,1.1000000000000001e-08
0,352320.4081632653,28.06122448979592,1.0031250039401953e-06,1.4000000000000001e-08
0,352320.4081632653,28.857142857142858,1.0032126823115898e-06,1.5000000000000002e-08
0,352320.4081632653,29.653061224489797,1.0033003139590856e-06,1.5000000000000002e-08
0,352320.4081632653,30.448979591836736,1.00338790021658e-06,1.5000000000000002e-08
0,352320.4081632653,31.244897959183675,1.0034754417446844e-06,1.4000000000000001e-08
0,352320.4081632653,32.04081632653062,1.003562938405386e-06,1.3e-08
0,352320.4081632653,32.83673469387755,1.0036503899991543e-06,1.5000000000000002e-08
0,352320.4081632653,33.63265306122449,1.0037377966180726e-06,1.6e-08
0,352320.4081632653,34.42857142857143,1.0038251591889903e-06,1.6e-08
0,352320.4081632653,35.224489795918366,1.0039124788724899e-06,1.6e-08
0,352320.4081632653,36.02040816326531,1.0039997563798642e-06,1.5000000000000002e-08
0,352320.4081632653,36.816326530612244,1.0040869918212897e-06,1.3e-08
0,352320.4081632653,37.61224489795919,1.0041741851107893e-06,1.5000000000000002e-08
0,352320.4081632653,38.40816326530612,1.0042613361186566e-06,1.6e-08
0,352320.4081632653,39.20408163265306,1.004348445354614e-06,1.7e-08
0,352320.4081632653,40.0,1.0044355137569949e-06,1.7e-08
0,358442.85714285716,1.0,1.0001126689367748e-06,2e-09
